Gene	01CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	01CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	01CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	02CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	03CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	04CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	05CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	06CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	07CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	08CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	09CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	10CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	11CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	12CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	Spectral Counts	Distinct Peptides	Unshared Peptides	NCBIGeneID	Authority	Description	Organism	Chromosome	Locus	Proteins	Assays
CCNL1	3	3	3	3	3	3	1	1	1	5	4	4	2	2	2	2	2	2	2	2	2	2	2	2	4	3	3	2	2	2	0	0	0	6	5	5	32	7	7	57018	HGNC:20569	cyclin L1	Homo sapiens	3	3q25.31	H7C4G1;NP_001295114.1;NP_064703.1;Q9UK58;Q9UK58-4;Q9UK58-5;Q9UK58-6;XP_005247705.1;XP_006713773.1;XP_011511313.1;XP_016862380.1;XP_016862381.1;XP_016862382.1;XP_016862383.1;XP_016862384.1;XP_016862385.1;XP_016862386.1	
CCNT1	5	5	4	5	5	4	11	10	9	13	13	12	7	7	6	10	7	7	5	5	4	7	6	5	4	4	3	2	2	2	5	5	4	9	9	9	83	20	19	904	HGNC:1599	cyclin T1	Homo sapiens	12	12q13.11-q13.12	A0A1W2PQ16;NP_001231.2;NP_001264771.1;O60563;O60563-2;XP_016875686.1	
CCNT2	2	2	1	4	4	3	2	2	0	2	2	1	7	7	5	1	1	1	5	4	3	1	1	0	3	3	1	4	4	3	2	2	1	3	3	3	36	10	8	905	HGNC:1600	cyclin T2	Homo sapiens	2	2q21.3	F2Z2C9;F8WDY7;NP_001232.1;NP_001307677.1;NP_001307678.1;NP_490595.1;O60583;O60583-2;XP_016860716.1;XP_016860717.1;XP_016860718.1;XP_016860719.1;XP_016860720.1;XP_016860721.1;XP_016860722.1	
CCNY	6	4	3	8	6	4	11	8	5	10	7	5	8	6	4	11	7	5	4	2	1	14	7	5	12	7	5	8	7	5	14	7	6	8	6	4	114	17	14	219771	HGNC:23354	cyclin Y	Homo sapiens	10	10p11.21	NP_001269781.1;NP_001269782.1;NP_001269783.1;NP_659449.3;NP_859049.2;Q8ND76;Q8ND76-2;Q8ND76-3;R4GN48;R4GNF3;XP_006717455.1;XP_011517659.1;XP_011517660.1;XP_011517662.1;XP_011517663.1;XP_011517664.1;XP_011517665.1;XP_011517666.1;XP_011517667.1;XP_011517668.1;XP_011517669.1;XP_011517670.1;XP_011517671.1;XP_016871328.1;XP_016871329.1;XP_016871330.1	
CCNYL1	3	3	2	4	4	2	7	5	2	5	3	1	5	4	2	4	3	1	3	2	1	5	4	2	8	5	3	5	3	1	4	2	1	5	4	2	58	8	5	151195	HGNC:26868	cyclin Y like 1	Homo sapiens	2	2q33.3	H7BZD2;H7C0P7;NP_001135772.1;NP_001317147.1;NP_689736.1;Q8N7R7;Q8N7R7-2;Q8N7R7-3	
CCPG1	2	2	1	2	2	1	4	4	3	3	3	3	3	3	2	3	3	3	2	2	2	2	2	1	3	3	3	4	4	4	6	6	6	2	2	2	36	15	14	9236	HGNC:24227	cell cycle progression 1	Homo sapiens	15	15q21.3	H3BN32;H3BNE2;NP_001191379.1;NP_001191380.1;NP_004739.3;NP_065790.2;Q9ULG6;Q9ULG6-2;Q9ULG6-3;Q9ULG6-4;Q9ULG6-5	
CCR1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	14	2	2	1230	HGNC:1602	C-C motif chemokine receptor 1	Homo sapiens	3	3p21.31	NP_001286.1;P32246	
CCS	19	11	11	22	12	12	18	11	11	19	10	10	20	11	11	15	10	10	20	10	10	21	15	15	25	13	13	19	11	11	17	9	9	22	14	14	237	20	20	9973	HGNC:1613	copper chaperone for superoxide dismutase	Homo sapiens	11	11q13.2	E9PK03;E9PP76;J3KNF4;NP_005116.1;O14618	
CCT2	193	52	51	203	46	46	240	66	64	241	49	49	259	65	63	215	57	56	229	57	56	202	59	58	229	57	56	189	53	51	221	52	50	231	63	62	2652	102	99	10576	HGNC:1615	chaperonin containing TCP1 subunit 2	Homo sapiens	12	12q15	F5GWF6;F8VQ14;NP_001185771.1;NP_006422.1;P78371;P78371-2	CPTAC-39;CPTAC-40
CCT3	120	52	52	106	42	42	158	68	68	153	55	55	164	61	61	145	58	58	151	53	53	120	50	50	170	50	50	129	50	50	159	56	56	154	56	56	1729	106	106	7203	HGNC:1616	chaperonin containing TCP1 subunit 3	Homo sapiens	1	1q22	B4DUR8;E9PM09;E9PQ35;E9PRC8;NP_001008800.1;NP_005989.3;P49368;P49368-2;Q5SZW8;Q5SZX6;Q5SZX9	CPTAC-474;CPTAC-475
CCT4	126	57	52	116	41	38	146	57	52	135	45	42	168	56	49	152	65	60	149	52	47	158	52	47	188	55	49	141	61	56	150	55	49	143	56	52	1772	98	90	10575	HGNC:1617	chaperonin containing TCP1 subunit 4	Homo sapiens	2	2p15	NP_001243650.1;NP_006421.2;P50991;P50991-2	
CCT5	178	57	54	155	49	48	204	63	60	196	51	50	215	64	59	182	64	61	204	56	53	187	57	54	222	56	52	168	55	52	201	56	52	197	58	55	2309	96	90	22948	HGNC:1618	chaperonin containing TCP1 subunit 5	Homo sapiens	5	5p15.2	B7ZAR1;D6RIZ7;E7ENZ3;E9PCA1;H0Y914;NP_001293082.1;NP_001293083.1;NP_001293084.1;NP_001293085.1;NP_036205.1;P48643;P48643-2	
CCT6A	142	49	49	117	33	33	143	49	49	142	44	44	193	47	47	151	55	55	164	46	46	153	46	46	181	44	44	139	45	45	142	45	45	144	50	50	1811	100	100	908	HGNC:1620	chaperonin containing TCP1 subunit 6A	Homo sapiens	7	7p11.2	NP_001009186.1;NP_001753.1;P40227;P40227-2	CPTAC-41;CPTAC-42
CCT7	117	52	52	92	40	40	131	58	58	122	46	46	160	49	49	140	51	51	140	51	51	165	55	55	180	52	52	135	51	51	162	44	44	164	54	54	1708	95	95	10574	HGNC:1622	chaperonin containing TCP1 subunit 7	Homo sapiens	2	2p13.2	A0A0D9SG95;F8WAM2;F8WBP8;NP_001009570.1;NP_001159756.1;NP_001159757.1;NP_006420.1;Q99832;Q99832-2;Q99832-3;Q99832-4;XP_011530780.1;XP_011530781.1	CPTAC-181
CCT8	162	58	58	121	46	46	185	68	68	162	51	51	202	72	72	191	67	67	187	63	63	162	60	60	204	63	63	152	59	59	159	61	61	208	67	67	2095	105	105	10694	HGNC:1623	chaperonin containing TCP1 subunit 8	Homo sapiens	21	21q21.3	H7C2U0;H7C4C8;NP_001269836.1;NP_001269837.1;NP_001269838.1;NP_006576.2;P50990;P50990-2;P50990-3	CPTAC-331;CPTAC-332
CCZ1	10	10	10	7	7	7	8	7	7	9	8	8	11	9	9	6	6	6	9	9	9	10	9	9	4	4	4	6	6	6	7	7	7	11	9	9	98	22	22	51622	HGNC:21691	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated	Homo sapiens	7	7p22.1	F8WD66;NP_056437.4;P86790;P86791	
CD109	44	32	32	43	34	34	53	39	39	30	25	25	47	35	35	60	41	41	50	38	38	44	34	34	63	39	39	29	22	22	37	30	30	73	43	43	573	69	69	135228	HGNC:21685	CD109 molecule	Homo sapiens	6	6q13	NP_001153059.1;NP_001153060.1;NP_598000.2;Q6YHK3;Q6YHK3-2;Q6YHK3-3;Q6YHK3-4;XP_005248716.1;XP_011533775.1;XP_016865772.1	
CD14	39	20	20	37	17	17	36	18	18	31	15	15	40	18	18	47	22	22	43	18	18	39	17	17	51	19	19	53	22	22	51	22	22	49	24	24	516	35	35	929	HGNC:1628	CD14 molecule	Homo sapiens	5	5q31.3	D6RD81;D6RFL4;E7EVL5;NP_000582.1;NP_001035110.1;NP_001167575.1;NP_001167576.1;P08571	
CD151	13	8	8	21	8	8	15	8	8	19	8	8	18	7	7	16	7	7	22	10	10	21	9	9	14	8	8	13	7	7	12	7	7	15	9	9	199	11	11	977	HGNC:1630	CD151 molecule (Raph blood group)	Homo sapiens	11	11p15.5	E9PJC8;E9PJE8;E9PK37;E9PLZ6;E9PMR4;E9PP93;E9PRJ3;E9PSA1;K4DIB7;NP_001034579.1;NP_004348.2;NP_620598.1;NP_620599.1;P48509	
CD163	44	29	29	35	27	27	37	29	29	32	23	23	50	33	33	70	43	43	68	32	32	56	36	36	49	30	30	64	36	36	72	43	43	52	32	32	629	68	68	9332	HGNC:1631	CD163 molecule	Homo sapiens	12	12p13.31	C9JHR8;F5GZZ9;H0YFM0;H0YGZ7;NP_004235.4;NP_981961.2;Q86VB7;Q86VB7-2;Q86VB7-3;Q86VB7-4;XP_005253586.1;XP_016875720.1	
CD164	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	2	2	2	3	2	2	3	3	3	2	2	2	3	2	2	18	3	3	8763	HGNC:1632	CD164 molecule	Homo sapiens	6	6q21	NP_001135873.1;NP_001135874.1;NP_001135875.1;NP_001135876.1;NP_006007.2;Q04900;Q04900-2;Q04900-3;Q04900-4;Q04900-5	
CD180	3	3	3	2	2	2	6	5	5	4	4	4	5	3	3	3	2	2	3	2	2	0	0	0	2	2	2	3	3	3	3	3	3	3	3	3	37	6	6	4064	HGNC:6726	CD180 molecule	Homo sapiens	5	5q12.3	NP_005573.2;Q99467;XP_005248561.1	
CD19	0	0	0	0	0	0	11	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	9	930	HGNC:1633	CD19 molecule	Homo sapiens	16	16p11.2	NP_001171569.1;NP_001761.3;P15391;P15391-2;XP_006721166.1;XP_011544283.1;XP_016879382.1	
CD2	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2	10	4	4	914	HGNC:1639	CD2 molecule	Homo sapiens	1	1p13.1	NP_001315538.1;NP_001758.2;P06729;Q5JVN7	
CD200	5	2	2	5	3	3	4	4	4	2	2	2	4	4	4	3	3	3	3	2	2	2	2	2	3	2	2	4	3	3	4	3	3	6	3	3	45	8	8	4345	HGNC:7203	CD200 molecule	Homo sapiens	3	3q13.2	F8W7G1;F8WC99;F8WEX3;NP_001004196.2;NP_001305755.1;NP_001305757.1;NP_001305759.1;NP_005935.4;P41217;P41217-2;P41217-3;U3KQG5;U3KQQ2;XP_005247538.1;XP_005247539.1;XP_005247542.1;XP_005247543.1;XP_005247545.1;XP_016861941.1;XP_016861942.1;XP_016861943.1;XP_016861944.1;XP_016861945.1;XP_016861946.1;XP_016861947.1;XP_016861948.1	
CD207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	6	4	4	9	4	4	50489	HGNC:17935	CD207 molecule	Homo sapiens	2	2p13.3	NP_056532.4;Q9UJ71;XP_011531176.1;XP_011531177.1;XP_011531178.1	
CD209	0	0	0	2	2	2	5	4	4	4	3	3	3	3	3	2	2	2	5	3	3	6	5	5	12	5	5	5	5	5	1	1	1	1	1	1	46	13	13	30835	HGNC:1641	CD209 molecule	Homo sapiens	19	19p13.2	M0QZG5;M0R0P0;NP_001138365.1;NP_001138366.1;NP_001138367.1;NP_001138368.1;NP_001138369.1;NP_001138371.1;NP_066978.1;Q9NNX6;Q9NNX6-10;Q9NNX6-11;Q9NNX6-12;Q9NNX6-2;Q9NNX6-3;Q9NNX6-4;Q9NNX6-5;Q9NNX6-6;Q9NNX6-7;Q9NNX6-8;Q9NNX6-9;X6RB12;XP_005272529.1	
CD22	0	0	0	0	0	0	17	14	14	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	19	16	16	933	HGNC:1643	CD22 molecule	Homo sapiens	19	19q13.12	A0A087WZQ4;M0QY05;M0QY14;M0QYP4;M0QZ01;M0QZR7;M0R0R6;M0R1M2;M0R2M0;M0R2R8;M0R3H1;NP_001172028.1;NP_001172029.1;NP_001172030.1;NP_001265346.1;NP_001762.2;P20273;P20273-2;P20273-3;P20273-4;P20273-5	
CD247	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	0	0	0	5	3	3	919	HGNC:1677	CD247 molecule	Homo sapiens	1	1q24.2	NP_000725.1;NP_932170.1;P20963;P20963-3;XP_011508446.1;XP_011508447.1;XP_016858289.1;XP_016858290.1	
CD248	6	5	5	7	6	6	7	5	5	4	3	3	6	5	5	9	8	8	5	4	4	8	5	5	8	7	7	10	8	8	9	8	8	5	5	5	84	12	12	57124	HGNC:18219	CD248 molecule	Homo sapiens	11	11q13.2	NP_065137.1;Q9HCU0;Q9HCU0-2	
CD276	17	10	10	14	10	10	8	7	7	12	8	8	13	9	9	11	10	10	15	9	9	10	9	9	16	8	8	16	9	9	21	13	13	15	10	10	168	18	18	80381	HGNC:19137	CD276 molecule	Homo sapiens	15	15q24.1	A0A0C4DGH0;H0YK40;H0YK59;H0YL10;H0YLT8;H0YN29;H0YN85;NP_001019907.1;NP_001316557.1;NP_001316558.1;NP_079516.1;Q5ZPR3;Q5ZPR3-2;Q5ZPR3-3;Q5ZPR3-4;XP_005254757.1;XP_011520397.1;XP_011520398.1;XP_016878127.1	
CD2AP	34	30	30	37	24	24	47	38	38	44	32	32	53	38	38	53	38	38	57	41	41	48	33	33	55	34	34	57	40	40	63	41	41	66	44	44	614	75	75	23607	HGNC:14258	CD2 associated protein	Homo sapiens	6	6p12.3	NP_036252.1;Q9Y5K6;XP_005249033.1;XP_011512751.1;XP_016866130.1	
CD2BP2	10	9	9	8	6	6	11	8	8	24	13	13	17	10	10	13	9	9	13	9	9	10	7	7	10	7	7	15	12	12	6	6	6	22	10	10	159	18	18	10421	HGNC:1656	CD2 cytoplasmic tail binding protein 2	Homo sapiens	16	16p11.2	NP_001230575.1;NP_006101.1;O95400	
CD300A	1	1	1	1	1	1	1	1	1	0	0	0	2	2	2	3	3	3	2	2	2	2	2	2	2	2	2	6	6	6	5	5	5	4	3	3	29	6	6	11314	HGNC:19319	CD300a molecule	Homo sapiens	17	17q25.1	J3QKQ4;NP_001243770.1;NP_001317385.1;NP_001317386.1;NP_009192.2;Q9UGN4;Q9UGN4-2;Q9UGN4-3;Q9UGN4-4;XP_005257047.1;XP_005257048.1;XP_006721719.1	
CD320	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	2	2	2	1	1	1	1	1	1	4	4	4	0	0	0	12	5	5	51293	HGNC:16692	CD320 molecule	Homo sapiens	19	19p13.2	M0R100;NP_001159367.1;NP_057663.1;Q9NPF0;Q9NPF0-2	
CD34	9	6	6	7	7	7	14	9	9	7	6	6	5	5	5	10	9	9	10	8	8	8	7	7	14	5	5	5	4	4	4	4	4	6	3	3	99	12	12	947	HGNC:1662	CD34 molecule	Homo sapiens	1	1q32.2	NP_001020280.1;NP_001764.1;P28906;P28906-2;Q5JTA5	
CD36	44	20	20	37	21	21	10	9	9	37	19	19	15	11	11	19	12	12	20	12	12	53	28	28	12	9	9	16	12	12	28	19	19	13	10	10	304	38	38	948	HGNC:1663	CD36 molecule	Homo sapiens	7	7q21.11	E7ERZ9;E7EU05;E7EVU1;E7EWI4;E7EX47;E9PC45;E9PJX8;E9PLT1;NP_000063.2;NP_001001547.1;NP_001001548.1;NP_001120915.1;NP_001120916.1;NP_001276837.1;NP_001276838.1;NP_001276840.1;P16671;P16671-2;P16671-3;P16671-4;XP_005250770.1;XP_005250771.1;XP_005250772.1	
CD37	0	0	0	0	0	0	5	3	3	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	9	4	4	951	HGNC:1666	CD37 molecule	Homo sapiens	19	19q13.33	B7ZAN3;M0QZP6;NP_001035120.1;NP_001765.1;P11049;P11049-2;P11049-3;XP_005259492.1;XP_005259493.1;XP_011525844.1;XP_011525845.1;XP_011525846.1;XP_016883002.1	
CD38	7	6	6	4	4	4	20	10	10	4	4	4	14	10	10	16	12	12	9	7	7	9	8	8	13	11	11	15	8	8	12	8	8	9	8	8	132	20	20	952	HGNC:1667	CD38 molecule	Homo sapiens	4	4p15.32	H0Y950;NP_001766.2;P28907;P28907-2	
CD3D	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	2	2	2	2	2	2	0	0	0	9	3	3	915	HGNC:1673	CD3d molecule	Homo sapiens	11	11q23.3	E9PMT5;H0YE18;NP_000723.1;NP_001035741.1;P04234;P04234-2;XP_016874032.1	
CD3E	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	1	1	1	8	6	6	916	HGNC:1674	CD3e molecule	Homo sapiens	11	11q23.3	E9PSH8;NP_000724.1;P07766	
CD3EAP	3	3	3	0	0	0	7	5	5	6	6	6	5	4	4	4	4	4	4	4	4	4	4	4	7	4	4	4	4	4	3	1	1	10	9	9	57	16	16	10849	HGNC:24219	CD3e molecule associated protein	Homo sapiens	19	19q13.32	NP_001284519.1;NP_036231.1;O15446;O15446-2;XP_016881669.1;XP_016881670.1	CPTAC-920;CPTAC-921
CD3G	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	4	2	2	917	HGNC:1675	CD3g molecule	Homo sapiens	11	11q23.3	A8MUH3;NP_000064.1;P09693;XP_005271781.1;XP_006719004.1	
CD4	2	1	1	4	4	4	6	4	4	2	2	2	2	2	2	3	2	2	4	3	3	1	1	1	2	2	2	3	3	3	4	3	3	2	2	2	35	6	6	920	HGNC:1678	CD4 molecule	Homo sapiens	12	12p13.31	F5H480;NP_000607.1;NP_001181943.1;NP_001181944.1;NP_001181945.1;NP_001181946.1;P01730;XP_016875717.1	
CD40	4	3	3	2	2	2	12	7	7	4	4	4	2	2	2	1	1	1	4	4	4	1	1	1	2	2	2	6	4	4	6	5	5	4	3	3	48	9	9	958	HGNC:11919	CD40 molecule	Homo sapiens	20	20q13.12	A0A087X1D0;H0YE23;NP_001241.1;NP_001289682.1;NP_001309350.1;NP_001309351.1;NP_690593.1;P25942;P25942-2;XP_005260676.1;XP_011527411.1;XP_016883624.1;XP_016883625.1;XP_016883626.1	
CD44	26	12	12	30	13	13	46	18	18	33	13	13	29	12	12	33	15	15	34	17	17	30	12	12	38	13	13	28	14	14	33	14	14	39	14	14	399	25	25	960	HGNC:1681	CD44 molecule (Indian blood group)	Homo sapiens	11	11p13	E9PKC6;H0Y2P0;H0Y5E4;H0YCV9;H0YD13;H0YD17;H0YD90;H0YDW7;H0YDX6;H0YE40;H0YEU1;H0YEV3;J3KN83;NP_000601.3;NP_001001389.1;NP_001001390.1;NP_001001391.1;NP_001001392.1;NP_001189484.1;NP_001189485.1;NP_001189486.1;P16070;P16070-10;P16070-11;P16070-12;P16070-13;P16070-14;P16070-15;P16070-16;P16070-17;P16070-18;P16070-19;P16070-3;P16070-4;P16070-5;P16070-6;P16070-7;P16070-8;P16070-9;Q86UZ1;XP_005253288.1;XP_005253289.1;XP_005253290.1;XP_005253291.1;XP_005253292.1;XP_005253295.1;XP_005253296.1;XP_005253297.1;XP_006718451.1;XP_006718453.1;XP_011518784.1;XP_011518785.1;XP_011518786.1;XP_011518787.1;XP_011518788.1;XP_011518789.1;XP_011518790.1;XP_011518791.1;XP_016874072.1;XP_016874073.1;XP_016874074.1	
CD46	18	12	12	31	12	12	20	14	14	24	11	11	16	9	9	13	11	11	19	11	11	21	12	12	32	14	14	23	12	12	20	10	10	30	16	16	267	21	21	4179	HGNC:6953	CD46 molecule	Homo sapiens	1	1q32.2	NP_002380.3;NP_722548.1;NP_758860.1;NP_758861.1;NP_758862.1;NP_758863.1;NP_758869.1;NP_758871.1;P15529;P15529-10;P15529-11;P15529-12;P15529-13;P15529-14;P15529-15;P15529-16;P15529-2;P15529-3;P15529-4;P15529-5;P15529-6;P15529-7;P15529-8;P15529-9;R4GN18;XP_011507865.1;XP_011507866.1;XP_016856797.1;XP_016856798.1;XP_016856799.1	
CD47	27	6	6	26	6	6	27	7	7	23	6	6	20	6	6	18	6	6	21	6	6	16	5	5	24	6	6	20	5	5	23	6	6	27	9	9	272	10	10	961	HGNC:1682	CD47 molecule	Homo sapiens	3	3q13.12	H0YC40;H7BYS8;NP_001768.1;NP_942088.1;Q08722;Q08722-2;Q08722-3;Q08722-4;XP_005247965.1;XP_005247966.1	
CD48	4	4	4	2	2	2	11	7	7	1	1	1	3	3	3	3	3	3	4	3	3	4	3	3	1	1	1	5	5	5	5	5	5	3	3	3	46	10	10	962	HGNC:1683	CD48 molecule	Homo sapiens	1	1q23.3	A0A087X1S7;NP_001242959.1;NP_001769.2;P09326;P09326-2;XP_005245682.1;XP_011508473.1;XP_016858356.1	CPTAC-1199
CD5	1	1	1	0	0	0	2	2	2	0	0	0	0	0	0	3	3	3	1	1	1	0	0	0	0	0	0	5	5	5	1	1	1	1	1	1	14	8	8	921	HGNC:1685	CD5 molecule	Homo sapiens	11	11q12.2	NP_001333385.1;NP_055022.2;P06127	
CD53	4	3	3	2	2	2	10	3	3	4	3	3	4	3	3	4	4	4	4	4	4	3	3	3	5	2	2	4	3	3	4	3	3	3	3	3	51	5	5	963	HGNC:1686	CD53 molecule	Homo sapiens	1	1p13.3	NP_000551.1;NP_001035122.1;NP_001307567.1;P19397	
CD55	39	22	22	34	21	21	39	22	22	17	11	11	36	18	18	38	22	22	21	14	14	33	20	20	35	17	17	47	26	26	42	25	25	39	22	22	420	46	46	1604	HGNC:2665	CD55 molecule (Cromer blood group)	Homo sapiens	1	1q32.2	B1AP13;B1AP15;H3BLV0;H7BY55;NP_000565.1;NP_001108224.1;NP_001287831.1;NP_001287832.1;NP_001287833.1;P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7;XP_016855956.1	
CD58	2	2	2	1	1	1	2	2	2	3	3	3	0	0	0	0	0	0	4	3	3	5	3	3	0	0	0	5	2	2	4	2	2	2	2	2	28	4	4	965	HGNC:1688	CD58 molecule	Homo sapiens	1	1p13.1	B1AMW1;H0YDI1;NP_001138294.1;NP_001770.1;P19256;P19256-2;P19256-3;XP_016858358.1	
CD59	36	9	9	25	8	8	26	7	7	29	7	7	42	10	10	22	9	9	39	9	9	32	8	8	42	7	7	39	13	13	28	10	10	43	11	11	403	15	15	966	HGNC:1689	CD59 molecule (CD59 blood group)	Homo sapiens	11	11p13	E9PI80;E9PNW4;E9PR17;H0YET2;NP_000602.1;NP_001120695.1;NP_001120697.1;NP_001120698.1;NP_001120699.1;NP_976074.1;NP_976075.1;NP_976076.1;P13987	CPTAC-43;CPTAC-44
CD5L	16	10	9	20	15	13	19	16	15	12	10	9	15	10	9	19	13	12	17	12	11	19	15	13	18	10	8	24	18	16	23	14	12	29	19	17	231	27	25	922	HGNC:1690	CD5 molecule like	Homo sapiens	1	1q23.1	NP_001334627.1;NP_005885.1;O43866;XP_016858295.1	non-CPTAC-1092
CD63	12	5	5	9	3	3	9	7	7	17	5	5	15	6	6	17	5	5	18	5	5	25	6	6	12	8	8	19	7	7	22	8	8	27	8	8	202	10	10	967	HGNC:1692	CD63 molecule	Homo sapiens	12	12q13.2	F8VNT9;F8VV56;F8VWK8;F8VX62;F8W022;NP_001244318.1;NP_001244319.1;NP_001244320.1;NP_001244321.1;NP_001244329.1;NP_001244330.1;NP_001254627.1;NP_001771.1;P08962;P08962-2;P08962-3	
CD68	2	2	2	1	1	1	1	1	1	0	0	0	3	3	3	7	6	6	2	2	2	4	3	3	1	1	1	2	2	2	4	4	4	3	3	3	30	10	10	968	HGNC:1693	CD68 molecule	Homo sapiens	17	17p13.1	J3KRX0;NP_001035148.1;NP_001242.2;P34810;P34810-2;P34810-3	
CD74	33	14	14	39	13	13	50	19	19	44	16	16	60	21	21	36	16	16	34	13	13	47	13	13	36	12	12	42	14	14	39	16	16	50	16	16	510	31	31	972	HGNC:1697	CD74 molecule	Homo sapiens	5	5q33.1	E7EQJ3;E7ER71;E7ESL3;H0YBZ2;H0YBZ8;NP_001020329.1;NP_001020330.1;NP_004346.1;P04233;P04233-2;P04233-3;XP_016865578.1;XP_016865579.1	
CD79A	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	973	HGNC:1698	CD79a molecule	Homo sapiens	19	19q13.2	M0QX61;NP_001774.1;NP_067612.1;P11912;P11912-2	CPTAC-1178
CD81	18	7	7	18	8	8	20	9	9	16	8	8	21	7	7	31	16	16	24	8	8	27	12	12	27	8	8	17	8	8	20	6	6	14	5	5	253	21	21	975	HGNC:1701	CD81 molecule	Homo sapiens	11	11p15.5	A6NMH8;E9PIF1;E9PJK1;E9PM31;E9PPF5;E9PQV4;E9PRJ8;H0YDJ9;H0YDL9;H0YEE2;NP_001284578.1;NP_004347.1;P60033;XP_011518794.1;XP_016874087.1	
CD82	4	3	3	4	2	2	8	6	6	6	5	5	6	5	5	5	4	4	6	4	4	5	4	4	6	4	4	11	6	6	10	6	6	9	7	7	80	9	9	3732	HGNC:6210	CD82 molecule	Homo sapiens	11	11p11.2	E9PJC7;H0YD57;NP_001020015.1;NP_002222.1;P27701;P27701-2;XP_006718286.1;XP_011518369.1	
